sku,store,trannum,count
10896,9404,3900,20
10896,9404,4400,20
10896,9404,6800,20
10896,9404,7400,20
10896,9404,8700,20
10896,9404,200,20
12620,9404,1100,7
12620,9404,1700,7
12620,9404,2800,7
12620,9404,1800,7
13770,9404,400,5
13770,9404,700,5
13770,9404,800,5
13770,9404,2000,5
13770,9404,2300,5
16932,9404,8100,10
16932,9404,1100,10
16932,9404,1600,10
16932,9404,300,10
16932,9404,600,10
16932,9404,900,10
16932,9404,1900,10
16932,9404,2400,10
17915,9404,200,28
17915,9404,300,28
17915,9404,500,28
17915,9404,900,28
17915,9404,1000,28
17915,9404,1100,28
17915,9404,1200,28
17915,9404,1500,28
17915,9404,1800,28
17915,9404,2000,28
17915,9404,2100,28
17915,9404,2600,28
17915,9404,2800,28
17915,9404,2900,28
17915,9404,3300,28
17915,9404,3600,28
17915,9404,4000,28
17915,9404,5500,28
17915,9404,5600,28
17915,9404,6100,28
17915,9404,11200,28
17915,9404,2300,28
17915,9404,3800,28
18371,9404,200,5
18371,9404,1000,5
18371,9404,3100,5
18371,9404,1500,5
18371,9404,4000,5
19171,9404,600,31
19171,9404,700,31
19171,9404,1000,31
19171,9404,1200,31
19171,9404,1300,31
19171,9404,1600,31
19171,9404,1700,31
19171,9404,1800,31
19171,9404,1900,31
19171,9404,2000,31
19171,9404,2400,31
19171,9404,2700,31
19171,9404,2800,31
19171,9404,3200,31
19171,9404,3500,31
19171,9404,4400,31
19171,9404,4600,31
19171,9404,5100,31
19171,9404,5200,31
19171,9404,5300,31
19171,9404,5800,31
19171,9404,6600,31
19171,9404,6800,31
19171,9404,11500,31
19171,9404,15700,31
19171,9404,11400,31
19633,9404,200,49
19633,9404,400,49
19633,9404,500,49
19633,9404,600,49
19633,9404,900,49
19633,9404,1000,49
19633,9404,1100,49
19633,9404,1200,49
19633,9404,1400,49
19633,9404,1600,49
19633,9404,1700,49
19633,9404,1800,49
19633,9404,1900,49
19633,9404,2100,49
19633,9404,2500,49
19633,9404,2800,49
19633,9404,3100,49
19633,9404,3200,49
19633,9404,3500,49
19633,9404,3800,49
19633,9404,4500,49
19633,9404,4700,49
19633,9404,4800,49
19633,9404,5000,49
19633,9404,5400,49
19633,9404,5800,49
19633,9404,5900,49
19633,9404,7500,49
19633,9404,9100,49
19633,9404,10100,49
19633,9404,10500,49
19633,9404,10600,49
19633,9404,2000,49
19633,9404,10200,49
19633,9404,10400,49
19951,9404,300,15
19951,9404,500,15
19951,9404,1600,15
19951,9404,1700,15
19951,9404,2000,15
19951,9404,2100,15
19951,9404,4100,15
19951,9404,4300,15
19951,9404,7100,15
19951,9404,13200,15
19951,9404,13800,15
19951,9404,14800,15
19951,9404,6500,15
22763,9404,700,6
22763,9404,400,6
22763,9404,1300,6
22763,9404,900,6
22763,9404,600,6
22763,9404,1400,6
24745,9404,3600,6
24745,9404,1100,6
24745,9404,1700,6
24745,9404,2000,6
24745,9404,3100,6
26103,9404,2300,10
26103,9404,2500,10
26103,9404,300,10
26103,9404,600,10
26103,9404,1000,10
26103,9404,1300,10
26103,9404,1700,10
26103,9404,2700,10
26103,9404,5700,10
26103,9404,200,10
26932,9404,200,7
26932,9404,2200,7
26932,9404,6300,7
26932,9404,7200,7
26932,9404,1200,7
26932,9404,500,7
26932,9404,3100,7
27367,9404,300,7
27367,9404,3000,7
27367,9404,5400,7
27421,9404,300,5
27421,9404,1500,5
27421,9404,1600,5
27421,9404,1700,5
27505,9404,1400,5
27505,9404,2000,5
27505,9404,2100,5
27505,9404,4300,5
27505,9404,400,5
27973,9404,4700,5
27973,9404,1200,5
27973,9404,500,5
27973,9404,1000,5
28371,9404,2700,8
28371,9404,500,8
28371,9404,600,8
28371,9404,1100,8
28371,9404,1200,8
28371,9404,2000,8
28371,9404,2400,8
28371,9404,4200,8
29171,9404,1000,10
29171,9404,1600,10
29171,9404,1800,10
29171,9404,2200,10
29171,9404,2300,10
29171,9404,2400,10
29171,9404,2500,10
29171,9404,2700,10
29171,9404,4100,10
29171,9404,200,10
29633,9404,200,92
29633,9404,300,92
29633,9404,400,92
29633,9404,500,92
29633,9404,600,92
29633,9404,700,92
29633,9404,900,92
29633,9404,1000,92
29633,9404,1100,92
29633,9404,1200,92
29633,9404,1300,92
29633,9404,1400,92
29633,9404,1500,92
29633,9404,1800,92
29633,9404,1900,92
29633,9404,2100,92
29633,9404,2200,92
29633,9404,2400,92
29633,9404,2500,92
29633,9404,2600,92
29633,9404,2700,92
29633,9404,2800,92
29633,9404,3000,92
29633,9404,3100,92
29633,9404,3300,92
29633,9404,3500,92
29633,9404,3600,92
29633,9404,3800,92
29633,9404,4000,92
29633,9404,4100,92
29633,9404,4200,92
29633,9404,4300,92
29633,9404,4400,92
29633,9404,4700,92
29633,9404,5200,92
29633,9404,5600,92
29633,9404,5900,92
29633,9404,6300,92
29633,9404,6400,92
29633,9404,7100,92
29633,9404,7200,92
29633,9404,7400,92
29633,9404,7600,92
29633,9404,8900,92
29633,9404,12700,92
29633,9404,17700,92
29951,9404,600,13
29951,9404,1500,13
29951,9404,1900,13
29951,9404,2100,13
29951,9404,2800,13
29951,9404,2900,13
29951,9404,3000,13
29951,9404,4200,13
29951,9404,5100,13
29951,9404,5800,13
29951,9404,6000,13
33426,9404,200,5
33426,9404,500,5
33426,9404,600,5
33426,9404,1800,5
34099,9404,1600,5
34099,9404,2300,5
34099,9404,1100,5
34099,9404,3100,5
36102,9404,2600,5
36102,9404,1800,5
36102,9404,6300,5
36102,9404,6500,5
36102,9404,1700,5
36836,9404,3200,5
36836,9404,1100,5
36836,9404,400,5
36836,9404,2100,5
36932,9404,500,7
36932,9404,1300,7
36932,9404,5100,7
36932,9404,20600,7
36932,9404,900,7
36932,9404,300,7
37367,9404,200,6
37367,9404,1300,6
37367,9404,3100,6
37367,9404,3700,6
38327,9404,700,6
38327,9404,3300,6
38327,9404,8000,6
38327,9404,12100,6
38327,9404,13400,6
39171,9404,300,24
39171,9404,600,24
39171,9404,1000,24
39171,9404,1300,24
39171,9404,1600,24
39171,9404,1900,24
39171,9404,2000,24
39171,9404,2300,24
39171,9404,2500,24
39171,9404,3100,24
39171,9404,3600,24
39171,9404,5800,24
39171,9404,6000,24
39171,9404,7500,24
39171,9404,8900,24
39171,9404,10700,24
39171,9404,11000,24
39171,9404,14600,24
39633,9404,200,110
39633,9404,300,110
39633,9404,400,110
39633,9404,500,110
39633,9404,600,110
39633,9404,700,110
39633,9404,800,110
39633,9404,900,110
39633,9404,1000,110
39633,9404,1100,110
39633,9404,1200,110
39633,9404,1300,110
39633,9404,1400,110
39633,9404,1500,110
39633,9404,1600,110
39633,9404,1700,110
39633,9404,1800,110
39633,9404,1900,110
39633,9404,2000,110
39633,9404,2100,110
39633,9404,2200,110
39633,9404,2300,110
39633,9404,2400,110
39633,9404,2500,110
39633,9404,2600,110
39633,9404,2700,110
39633,9404,2800,110
39633,9404,2900,110
39633,9404,3100,110
39633,9404,3200,110
39633,9404,3300,110
39633,9404,3400,110
39633,9404,3500,110
39633,9404,3600,110
39633,9404,3700,110
39633,9404,3800,110
39633,9404,3900,110
39633,9404,4400,110
39633,9404,4800,110
39633,9404,5000,110
39633,9404,5100,110
39633,9404,5300,110
39633,9404,5500,110
39633,9404,5700,110
39633,9404,6500,110
39633,9404,7100,110
39633,9404,7600,110
39633,9404,8100,110
39633,9404,8700,110
39633,9404,11000,110
39633,9404,12100,110
39633,9404,16900,110
39633,9404,5800,110
39951,9404,200,11
39951,9404,1100,11
39951,9404,1400,11
39951,9404,1800,11
39951,9404,1900,11
39951,9404,2400,11
39951,9404,2700,11
39951,9404,4100,11
40539,9404,1000,9
40539,9404,400,9
40539,9404,1300,9
40539,9404,1400,9
40539,9404,2600,9
40539,9404,3300,9
42761,9404,700,6
42761,9404,1000,6
42761,9404,2400,6
42761,9404,6800,6
42761,9404,2500,6
42761,9404,200,6
43993,9404,1000,8
43993,9404,3000,8
43993,9404,900,8
43993,9404,1100,8
43993,9404,4500,8
43993,9404,700,8
46768,9404,6700,6
46768,9404,300,6
46768,9404,800,6
46768,9404,3900,6
46768,9404,4600,6
46768,9404,1000,6
47359,9404,1800,5
47359,9404,2500,5
47359,9404,4600,5
47359,9404,3500,5
47738,9404,500,18
47738,9404,1400,18
47738,9404,1900,18
47738,9404,2600,18
47738,9404,2700,18
47738,9404,3900,18
47738,9404,9300,18
47738,9404,12400,18
47738,9404,700,18
47738,9404,900,18
47738,9404,2400,18
47738,9404,8600,18
47738,9404,9900,18
47738,9404,11400,18
47738,9404,1200,18
47775,9404,200,8
47775,9404,400,8
47775,9404,900,8
47775,9404,1800,8
47775,9404,3200,8
47775,9404,1300,8
47957,9404,1100,5
47957,9404,1400,5
47957,9404,3000,5
47957,9404,1000,5
47957,9404,1300,5
49633,9404,600,20
49633,9404,800,20
49633,9404,900,20
49633,9404,1600,20
49633,9404,2200,20
49633,9404,2300,20
49633,9404,2800,20
49633,9404,3000,20
49633,9404,3200,20
49633,9404,4000,20
49633,9404,4300,20
49633,9404,4500,20
49633,9404,5400,20
49633,9404,6200,20
49633,9404,16600,20
49633,9404,500,20
53035,9404,3000,5
53035,9404,2500,5
53035,9404,2200,5
53035,9404,2400,5
53986,9404,800,6
53986,9404,1200,6
53986,9404,2600,6
53986,9404,300,6
53986,9404,1600,6
53986,9404,2000,6
56445,9404,2100,6
56445,9404,900,6
56445,9404,1100,6
56445,9404,1500,6
56445,9404,4500,6
56445,9404,2500,6
58229,9404,2800,7
58229,9404,800,7
58229,9404,1000,7
58229,9404,3200,7
58229,9404,4900,7
58229,9404,11700,7
58229,9404,2200,7
58355,9404,59500,24
58355,9404,200,24
58355,9404,400,24
58355,9404,500,24
58355,9404,600,24
58355,9404,800,24
58355,9404,900,24
58355,9404,1000,24
58355,9404,1100,24
58355,9404,1200,24
58355,9404,1400,24
58355,9404,2100,24
58355,9404,2200,24
58355,9404,2300,24
58355,9404,2500,24
58355,9404,2900,24
58355,9404,4600,24
58355,9404,3500,24
58355,9404,3000,24
59633,9404,400,54
59633,9404,600,54
59633,9404,700,54
59633,9404,800,54
59633,9404,900,54
59633,9404,1100,54
59633,9404,1200,54
59633,9404,1300,54
59633,9404,1400,54
59633,9404,1500,54
59633,9404,1600,54
59633,9404,1700,54
59633,9404,1800,54
59633,9404,2200,54
59633,9404,2400,54
59633,9404,2500,54
59633,9404,2800,54
59633,9404,3100,54
59633,9404,3300,54
59633,9404,3600,54
59633,9404,3700,54
59633,9404,3900,54
59633,9404,4000,54
59633,9404,4200,54
59633,9404,4600,54
59633,9404,5100,54
59633,9404,5500,54
59633,9404,6400,54
59633,9404,6500,54
59633,9404,6600,54
59633,9404,7800,54
59633,9404,8300,54
59633,9404,9700,54
59633,9404,9800,54
59633,9404,11500,54
59633,9404,11800,54
59633,9404,12400,54
59633,9404,17200,54
59633,9404,19600,54
66408,9404,1700,6
66408,9404,300,6
66408,9404,1500,6
66408,9404,500,6
66445,9404,300,7
66445,9404,900,7
66445,9404,1800,7
66445,9404,4500,7
66680,9404,2200,6
66680,9404,1900,6
66680,9404,2100,6
66680,9404,1400,6
66680,9404,2000,6
66680,9404,2300,6
67034,9404,600,5
67034,9404,900,5
67034,9404,1500,5
67034,9404,1800,5
67034,9404,3000,5
68086,9404,600,25
68086,9404,700,25
68086,9404,800,25
68086,9404,900,25
68086,9404,1000,25
68086,9404,1200,25
68086,9404,1300,25
68086,9404,1600,25
68086,9404,1900,25
68086,9404,2000,25
68086,9404,2400,25
68086,9404,2600,25
68086,9404,3000,25
68086,9404,3800,25
68086,9404,4000,25
68086,9404,4100,25
68086,9404,9500,25
68086,9404,14400,25
68086,9404,2100,25
68378,9404,1300,6
68378,9404,1400,6
68378,9404,1800,6
68378,9404,300,6
69551,9404,300,6
69551,9404,1500,6
69551,9404,2500,6
69551,9404,2600,6
69551,9404,2900,6
69551,9404,3500,6
69633,9404,200,34
69633,9404,400,34
69633,9404,600,34
69633,9404,900,34
69633,9404,1700,34
69633,9404,1800,34
69633,9404,2000,34
69633,9404,2100,34
69633,9404,2300,34
69633,9404,2600,34
69633,9404,2900,34
69633,9404,3000,34
69633,9404,3200,34
69633,9404,3700,34
69633,9404,3800,34
69633,9404,5500,34
69633,9404,5700,34
69633,9404,6600,34
69633,9404,14100,34
69633,9404,18100,34
69633,9404,5000,34
69633,9404,100,34
69633,9404,500,34
69633,9404,12400,34
69999,9404,300,5
69999,9404,2200,5
69999,9404,4000,5
69999,9404,6300,5
69999,9404,6500,5
71232,9404,1100,6
71232,9404,2700,6
71232,9404,300,6
71232,9404,600,6
71232,9404,1700,6
71776,9404,200,5
71776,9404,800,5
71776,9404,1000,5
72062,9404,200,7
72062,9404,600,7
72062,9404,700,7
72062,9404,1000,7
72062,9404,1500,7
76445,9404,2000,5
76445,9404,3000,5
76445,9404,2100,5
76445,9404,4500,5
77020,9404,800,5
77020,9404,1300,5
77020,9404,1400,5
77020,9404,1500,5
77020,9404,1800,5
79633,9404,400,12
79633,9404,500,12
79633,9404,1500,12
79633,9404,1700,12
79633,9404,3200,12
79633,9404,3400,12
79633,9404,3700,12
79633,9404,3900,12
79633,9404,4900,12
79633,9404,5200,12
79633,9404,5800,12
81235,9404,3700,5
81235,9404,7200,5
81235,9404,300,5
81235,9404,1200,5
82340,9404,1500,5
82340,9404,1600,5
82340,9404,2300,5
82340,9404,3100,5
82340,9404,6200,5
82670,9404,5400,12
82670,9404,400,12
82670,9404,1500,12
82670,9404,2900,12
82670,9404,300,12
84017,9404,700,7
84017,9404,900,7
84017,9404,1000,7
84017,9404,2500,7
84017,9404,3100,7
84017,9404,300,7
84388,9404,1800,7
84388,9404,6400,7
84388,9404,1200,7
84388,9404,2900,7
84527,9404,600,5
84527,9404,1000,5
84527,9404,1700,5
84527,9404,7300,5
84527,9404,9100,5
86618,9404,1900,5
86618,9404,500,5
86618,9404,4700,5
86618,9404,6900,5
86618,9404,5700,5
86752,9404,1600,5
86752,9404,700,5
86752,9404,1800,5
86752,9404,2900,5
86752,9404,1400,5
86774,9404,300,12
86774,9404,400,12
86774,9404,500,12
86774,9404,600,12
86774,9404,700,12
86774,9404,1000,12
86774,9404,1700,12
86774,9404,2500,12
86999,9404,1400,5
86999,9404,1800,5
86999,9404,3500,5
89633,9404,800,14
89633,9404,1000,14
89633,9404,1300,14
89633,9404,1600,14
89633,9404,1800,14
89633,9404,3000,14
89633,9404,4400,14
89633,9404,4800,14
89633,9404,7000,14
89633,9404,8900,14
89633,9404,10400,14
91089,9404,1300,8
91089,9404,1600,8
91089,9404,2400,8
91089,9404,2700,8
91089,9404,6600,8
91089,9404,7900,8
91235,9404,400,5
91235,9404,800,5
91235,9404,1100,5
91235,9404,5200,5
91235,9404,1400,5
92207,9404,2200,32
92207,9404,16200,32
92207,9404,300,32
92207,9404,400,32
92207,9404,900,32
92207,9404,1100,32
92207,9404,1300,32
92207,9404,1400,32
92207,9404,1500,32
92207,9404,1700,32
92207,9404,2100,32
92207,9404,2300,32
92207,9404,2400,32
92207,9404,2800,32
92207,9404,2900,32
92207,9404,3600,32
92207,9404,4500,32
92207,9404,6900,32
92207,9404,9100,32
92207,9404,700,32
92207,9404,1900,32
92207,9404,3000,32
92207,9404,4000,32
92766,9404,3400,8
92766,9404,1800,8
92766,9404,600,8
92766,9404,1600,8
92766,9404,3200,8
92766,9404,2100,8
92766,9404,3900,8
92766,9404,1400,8
98327,9404,3300,23
98327,9404,700,23
98327,9404,2000,23
98327,9404,4600,23
98327,9404,5700,23
98327,9404,9500,23
99207,9404,600,7
99207,9404,1500,7
99207,9404,1700,7
99207,9404,3100,7
99207,9404,4000,7
99207,9404,700,7
99979,9404,400,10
99979,9404,500,10
99979,9404,800,10
99979,9404,900,10
99979,9404,1500,10
99979,9404,300,10
99979,9404,3100,10
99979,9404,5100,10
103476,9404,12600,26
103476,9404,800,26
103476,9404,3300,26
103476,9404,300,26
103476,9404,500,26
103476,9404,700,26
103476,9404,1300,26
103476,9404,2500,26
103476,9404,2600,26
103476,9404,2700,26
103476,9404,5700,26
103476,9404,9400,26
103476,9404,1700,26
103476,9404,2200,26
103476,9404,5100,26
106343,9404,400,33
106343,9404,600,33
106343,9404,800,33
106343,9404,1200,33
106343,9404,1500,33
106343,9404,1600,33
106343,9404,1900,33
106343,9404,2100,33
106343,9404,2300,33
106343,9404,2400,33
106343,9404,2500,33
106343,9404,2600,33
106343,9404,2700,33
106343,9404,3000,33
106343,9404,3100,33
106343,9404,3200,33
106343,9404,3900,33
106343,9404,4100,33
106343,9404,4400,33
106343,9404,4600,33
106343,9404,5500,33
106343,9404,7300,33
106343,9404,9300,33
106343,9404,10600,33
106930,9404,600,5
106930,9404,900,5
106930,9404,1600,5
107495,9404,5900,6
107495,9404,900,6
107495,9404,2200,6
107495,9404,4500,6
107495,9404,6000,6
107800,9404,600,9
107800,9404,800,9
107800,9404,1100,9
107800,9404,1600,9
107800,9404,2900,9
107800,9404,4500,9
107800,9404,4700,9
107800,9404,5400,9
107800,9404,5800,9
108233,9404,500,8
108233,9404,2900,8
108233,9404,3500,8
108233,9404,800,8
108233,9404,600,8
108233,9404,1200,8
108233,9404,8300,8
108507,9404,400,58
108507,9404,600,58
108507,9404,700,58
108507,9404,800,58
108507,9404,900,58
108507,9404,1000,58
108507,9404,1100,58
108507,9404,1300,58
108507,9404,1400,58
108507,9404,1600,58
108507,9404,1700,58
108507,9404,1800,58
108507,9404,1900,58
108507,9404,2100,58
108507,9404,2200,58
108507,9404,2300,58
108507,9404,2600,58
108507,9404,2900,58
108507,9404,3000,58
108507,9404,3200,58
108507,9404,3300,58
108507,9404,3500,58
108507,9404,3600,58
108507,9404,3800,58
108507,9404,4100,58
108507,9404,4400,58
108507,9404,4500,58
108507,9404,4800,58
108507,9404,5300,58
108507,9404,6200,58
108507,9404,6600,58
108507,9404,7200,58
108507,9404,7300,58
108507,9404,7700,58
108507,9404,10100,58
108507,9404,10900,58
108507,9404,12800,58
108507,9404,13400,58
108507,9404,13900,58
108507,9404,9700,58
108507,9404,2000,58
108507,9404,6800,58
108803,9404,100,6
108803,9404,1400,6
108803,9404,1600,6
108803,9404,5600,6
108803,9404,1500,6
112307,9404,1000,51
112307,9404,1400,51
112307,9404,1900,51
112307,9404,2800,51
112307,9404,1600,51
112307,9404,3100,51
112307,9404,100,51
112307,9404,200,51
112307,9404,300,51
112307,9404,800,51
112307,9404,900,51
112307,9404,1100,51
112307,9404,1200,51
112307,9404,1300,51
112307,9404,2000,51
112307,9404,2700,51
112307,9404,3000,51
112307,9404,3900,51
112307,9404,4000,51
112307,9404,5800,51
112307,9404,2500,51
112307,9404,400,51
112307,9404,1800,51
113993,9404,600,8
113993,9404,1200,8
113993,9404,1300,8
113993,9404,1400,8
113993,9404,2400,8
113993,9404,4700,8
116627,9404,500,19
116627,9404,400,19
116627,9404,600,19
116627,9404,2000,19
116627,9404,2700,19
116627,9404,3100,19
116627,9404,3300,19
116627,9404,4800,19
116627,9404,5000,19
116627,9404,300,19
116627,9404,4400,19
116627,9404,1600,19
117020,9404,400,6
117020,9404,900,6
117020,9404,1200,6
117020,9404,1300,6
117020,9404,2200,6
117020,9404,3100,6
117495,9404,2300,6
117495,9404,900,6
117495,9404,1300,6
117495,9404,1900,6
117495,9404,4100,6
117495,9404,8800,6
119716,9404,3200,5
119716,9404,1600,5
119716,9404,1900,5
119716,9404,4300,5
123942,9404,500,5
123942,9404,3400,5
123942,9404,5200,5
123942,9404,600,5
123942,9404,3900,5
126408,9404,600,5
126408,9404,800,5
126408,9404,1400,5
126408,9404,2300,5
126408,9404,500,5
126449,9404,800,7
126449,9404,200,7
126449,9404,5400,7
126449,9404,5500,7
126449,9404,2100,7
126618,9404,700,5
126618,9404,1400,5
126618,9404,2500,5
126618,9404,7700,5
126618,9404,1700,5
126627,9404,1200,11
126627,9404,5500,11
126627,9404,300,11
126627,9404,1800,11
126627,9404,1100,11
126627,9404,2300,11
126627,9404,1400,11
126627,9404,1600,11
127800,9404,200,16
127800,9404,300,16
127800,9404,800,16
127800,9404,1000,16
127800,9404,1100,16
127800,9404,1600,16
127800,9404,1800,16
127800,9404,1900,16
127800,9404,2800,16
127800,9404,3100,16
127800,9404,3400,16
127800,9404,4300,16
127800,9404,5000,16
127800,9404,5301,16
127800,9404,5400,16
128471,9404,4800,5
128471,9404,7600,5
128471,9404,400,5
128471,9404,700,5
128471,9404,1100,5
128507,9404,400,34
128507,9404,500,34
128507,9404,600,34
128507,9404,700,34
128507,9404,800,34
128507,9404,1000,34
128507,9404,1600,34
128507,9404,1700,34
128507,9404,2000,34
128507,9404,2100,34
128507,9404,2300,34
128507,9404,2400,34
128507,9404,2600,34
128507,9404,2800,34
128507,9404,2900,34
128507,9404,3400,34
128507,9404,3600,34
128507,9404,3800,34
128507,9404,4600,34
128507,9404,5700,34
128507,9404,6100,34
128507,9404,7700,34
128507,9404,9800,34
128507,9404,11800,34
128507,9404,1300,34
130843,9404,2200,9
130843,9404,5800,9
130843,9404,6000,9
130843,9404,500,9
130843,9404,900,9
130843,9404,1800,9
130843,9404,2100,9
130843,9404,2700,9
130843,9404,3100,9
131397,9404,500,9
131397,9404,2800,9
131397,9404,1000,9
131397,9404,1800,9
131397,9404,2900,9
131397,9404,8200,9
131397,9404,300,9
133048,9404,800,5
133048,9404,2300,5
133048,9404,2500,5
133048,9404,2900,5
133048,9404,5700,5
133101,9404,99600,13
133101,9404,200,13
133101,9404,400,13
133101,9404,500,13
133101,9404,700,13
133101,9404,1100,13
133101,9404,2000,13
133101,9404,2400,13
133101,9404,1600,13
133101,9404,1900,13
133920,9404,1400,5
133920,9404,1900,5
133920,9404,2400,5
133920,9404,1600,5
136128,9404,600,5
136128,9404,4300,5
136128,9404,4800,5
136128,9404,1400,5
136128,9404,5900,5
136269,9404,600,5
136269,9404,900,5
136269,9404,1200,5
136269,9404,4000,5
136269,9404,4100,5
136343,9404,2000,16
136343,9404,2200,16
136343,9404,2500,16
136343,9404,2700,16
136343,9404,2800,16
136343,9404,2900,16
136343,9404,3300,16
136343,9404,3500,16
136343,9404,3700,16
136343,9404,6800,16
136343,9404,9700,16
136343,9404,400,16
136343,9404,4100,16
139082,9404,2900,7
139082,9404,400,7
139082,9404,1000,7
139082,9404,1100,7
139082,9404,500,7
140436,9404,3100,12
140436,9404,3000,12
140436,9404,2400,12
140436,9404,300,12
140436,9404,800,12
140436,9404,1700,12
142024,9404,200,5
142024,9404,300,5
142024,9404,1100,5
142024,9404,1200,5
142024,9404,7200,5
143895,9404,700,8
143895,9404,1900,8
143895,9404,100,8
143895,9404,400,8
143895,9404,1300,8
143895,9404,2200,8
143895,9404,2400,8
143895,9404,2700,8
144138,9404,200,59
144138,9404,300,59
144138,9404,400,59
144138,9404,500,59
144138,9404,700,59
144138,9404,800,59
144138,9404,900,59
144138,9404,1000,59
144138,9404,1100,59
144138,9404,1200,59
144138,9404,1300,59
144138,9404,1400,59
144138,9404,1700,59
144138,9404,1900,59
144138,9404,2000,59
144138,9404,2100,59
144138,9404,2200,59
144138,9404,2300,59
144138,9404,2400,59
144138,9404,2500,59
144138,9404,2600,59
144138,9404,2900,59
144138,9404,3000,59
144138,9404,3100,59
144138,9404,3200,59
144138,9404,3500,59
144138,9404,3600,59
144138,9404,3700,59
144138,9404,4900,59
144138,9404,5000,59
144138,9404,5900,59
144138,9404,6100,59
144138,9404,6200,59
144138,9404,6400,59
144138,9404,8900,59
144138,9404,9400,59
144138,9404,14400,59
146019,9404,200,9
146019,9404,600,9
146019,9404,1400,9
146019,9404,2100,9
146019,9404,3100,9
146019,9404,500,9
146019,9404,700,9
146445,9404,800,8
146445,9404,1400,8
146445,9404,1600,8
146445,9404,3000,8
146445,9404,900,8
146445,9404,2000,8
149082,9404,400,7
149082,9404,500,7
149082,9404,1200,7
149082,9404,1900,7
149082,9404,2000,7
149082,9404,300,7
149082,9404,1100,7
152307,9404,600,59
152307,9404,700,59
152307,9404,1200,59
152307,9404,400,59
152307,9404,800,59
152307,9404,2500,59
152307,9404,2300,59
152307,9404,200,59
152307,9404,300,59
152307,9404,500,59
152307,9404,900,59
152307,9404,1000,59
152307,9404,1300,59
152307,9404,1500,59
152307,9404,1600,59
152307,9404,2000,59
152307,9404,8700,59
152307,9404,5300,59
152307,9404,3500,59
152307,9404,2800,59
153005,9404,4400,8
153005,9404,4700,8
153005,9404,300,8
153005,9404,4000,8
153005,9404,4100,8
153005,9404,600,8
153005,9404,1400,8
154690,9404,600,7
154690,9404,900,7
154690,9404,2000,7
154690,9404,5300,7
156449,9404,5600,5
156449,9404,8200,5
156449,9404,8800,5
157926,9404,2100,12
157926,9404,500,12
157926,9404,900,12
157926,9404,1300,12
157926,9404,1500,12
157926,9404,1900,12
157926,9404,2000,12
157926,9404,4000,12
159877,9404,400,8
159877,9404,600,8
159877,9404,700,8
159877,9404,4800,8
159877,9404,300,8
159877,9404,500,8
160925,9404,4100,9
160925,9404,5200,9
161034,9404,1300,7
161034,9404,1400,7
161034,9404,5100,7
161034,9404,800,7
162036,9404,1100,5
162036,9404,2100,5
162036,9404,2400,5
162036,9404,2700,5
162307,9404,600,26
162307,9404,800,26
162307,9404,1400,26
162307,9404,400,26
162307,9404,700,26
162307,9404,1200,26
162307,9404,1700,26
162307,9404,2900,26
162307,9404,3400,26
162307,9404,6600,26
162307,9404,1000,26
163942,9404,500,5
163942,9404,1900,5
163942,9404,2200,5
163942,9404,2800,5
